GEOID,Percent low income,Margin of Error
340230015061,0.1175176056338028,0.0758963584984056
340230015062,0.3991811668372569,0.2237770676460006
340230015063,0.1666060385594762,0.0955587298408347
340230016001,0.1552462526766594,0.1870897873333376
340230016002,0.0434227330779055,0.0709163576791404
340230016003,0.1708860759493671,0.1272926172683338
340230016004,0.1432777232580961,0.1055842483064824
340230016005,0.3253424657534246,0.2378621710237783
340230017011,0.0534262485481997,0.0784400568228153
340230017012,0.2230576441102757,0.1741978542237143
340230017013,0.1205981669078629,0.1115944946733824
340230017014,0.0437881873727088,0.033178730248059
340230017021,0.0627557980900409,0.0634715911998667
340230017022,0.1567907708442579,0.0750897723755371
340230017023,0.2804469273743016,0.1332104651699304
340230018031,0.0422647527910685,0.0496921901698978
340230018032,0.2776957163958641,0.2152364367314966
340230018033,0.0234234234234234,0.0218056203749947
340230018041,0.5352591333899746,0.2083529307638509
340230018042,0.0705363703159441,0.0457392124744287
340230018043,0.3819494584837545,0.2644717936362997
340230018051,0.1682539682539682,0.1232984681869165
340230018052,0.0173548773189707,0.0206578774926166
340230018053,0.0880658436213992,0.0540063188786357
340230018054,0.077028885832187,0.1332369455254354
340230018061,0.3819941102229701,0.1043745496620426
340230018063,0.0,0.0
340230018064,0.0,0.0
340230018067,0.0,0.0
340230019011,0.1891100702576112,0.1009401247965998
340230019012,0.0927444794952679,0.0824634196524564
340230019013,0.2840095465393795,0.1266581870198786
340230019021,0.2225237449118046,0.1544336599553905
340230019022,0.0751445086705202,0.084001409777589
340230019023,0.2028608582574772,0.1377284997234346
340230019031,0.1361963190184049,0.0852200277801869
340230019032,0.1849710982658959,0.1486840259408692
340230019033,0.2276595744680851,0.131934711330153
340230020001,0.0870229007633588,0.0467592264528516
340230020002,0.1137980085348506,0.0812445729354547
340230020003,0.0205382436260623,0.0238671169801754
340230021011,0.1497142857142857,0.12780268919476
340230021012,0.061527057079318,0.0593798834267531
340230021021,0.1300527240773286,0.108515566661579
340230021022,0.0453172205438066,0.078400348198866
340230021023,0.0745871070857752,0.0567655220025902
340230022001,0.2715273412947832,0.2015068470348158
340230022002,0.0249406175771972,0.0321278201384219
340230022003,0.0686777920410783,0.0624819527340948
340230023011,0.0985985985985987,0.0452703062539654
340230023012,0.0684788290642968,0.0647432118785898
340230023021,0.05,0.0391314789191521
340230023022,0.0597161037689671,0.0576479957637922
340230024011,0.3028169014084507,0.1517544205319664
340230024012,0.1935064935064935,0.215643276442822
340230024013,0.054585152838428,0.0584252210218176
340230024014,0.1575663026521061,0.1348875315642706
340230024015,0.0,0.0
340230024021,0.0170299727520436,0.0169368380002945
340230025001,0.0141218005295675,0.0573571797710266
340230025002,0.3245749613601236,0.28783727505159
340230025003,0.1480061349693251,0.1166643071388359
340230025004,0.0182166826462127,0.0304865638100535
340230025005,0.04077401520387,0.0670962873424418
340230026031,0.1088852988691437,0.0841762941128063
340230026032,0.2050300710770912,0.1030750994225254
